Название,Описание,Цена,Картинка
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue,"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue        экран 15.6"" TN 1920x1080; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD + 120GB SSD; видеоадаптер Intel Graphics; DOS            ",46000 сом,https://www.kivano.kg/images/product/112128/1665570763_65756600.png
Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver,"Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            ",44250 сом,https://www.kivano.kg/images/product/113152/1667383603_55712700.jpg
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue,"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue        экран 15.6"" TN 1920x1080; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 12GB DDR4; накопитель 1000GB HDD + 120GB SSD; видеоадаптер Intel Graphics; DOS            ",48210 сом,https://www.kivano.kg/images/product/112129/1665570861_28250300.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            ",34910 сом,https://www.kivano.kg/images/product/113153/1667385146_23636700.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            ",36630 сом,https://www.kivano.kg/images/product/113154/1667385214_08802400.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            ",38440 сом,https://www.kivano.kg/images/product/113155/1667385281_14197400.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            ",41060 сом,https://www.kivano.kg/images/product/113156/1667385363_05217200.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            ",35860 сом,https://www.kivano.kg/images/product/113157/1667385655_07413500.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            ",37610 сом,https://www.kivano.kg/images/product/113158/1667385727_51539800.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            ",39390 сом,https://www.kivano.kg/images/product/113159/1667385795_80517300.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 256GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            ",42070 сом,https://www.kivano.kg/images/product/113160/1667385861_08151600.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 512GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 512GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            ",38110 сом,https://www.kivano.kg/images/product/113161/1667386016_39293500.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 512GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 512GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            ",39820 сом,https://www.kivano.kg/images/product/113162/1667386081_34143300.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 512GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 512GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            ",41630 сом,https://www.kivano.kg/images/product/113163/1667386158_29499600.jpg
Ноутбук Acer Swift 3 SF314-511 Intel Core i5-1135G7 8GB DDR4 2000GB SSD FHD DOS BL silver,"Ноутбук Acer Swift 3 SF314-511 Intel Core i5-1135G7 8GB DDR4 2000GB SSD FHD DOS BL silver        экран 14"" IPS 1920x1080; процессор Intel Core i5-1135G7 (4/8) 2400-4200 MHz; оперативная память 8GB DDR4; накопитель 2000 GB SSD; видеоадаптер Intel Graphics; DOS            ",83020 сом,https://www.kivano.kg/images/product/111372/1663950278_98424100.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Electric Blue        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            ",44250 сом,https://www.kivano.kg/images/product/113164/1667386212_05498900.jpg
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black,"Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black        Операционная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 11.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.52 кг            ",23420 сом,https://www.kivano.kg/images/product/89617/1614854895_76080400.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD DOS,"Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD DOS        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW нет; вес...            ",31670 сом,https://www.kivano.kg/images/product/97823/1631702188_65410100.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD DOS,"Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD DOS        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW нет; вес...            ",33090 сом,https://www.kivano.kg/images/product/97824/1631702201_07843100.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD DOS,"Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD DOS        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес...            ",31850 сом,https://www.kivano.kg/images/product/97825/1631702211_53098300.jpg
